1956;2025-06;Ikiru;A movie asking the question of how to give our lives meaning.;https://image.tmdb.org/t/p/w600_and_h900_face/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg
1957;2024-01;12 Angry Men;A movie about humanity and everything which is important for human life.;https://image.tmdb.org/t/p/w600_and_h900_face/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg
1961;2024-01;Yojimbo;One of the most beautifully told stories.;https://image.tmdb.org/t/p/w600_and_h900_face/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg
1968;2026-02;Guess Who's Coming to Dinner;A great historic movie about how skin differences were overcome.;https://image.tmdb.org/t/p/w600_and_h900_face/fkHeYWahNbhxhuLefaAg553lYo5.jpg
1981;2025-08;Das Boot;A great movie about the reality of war.;https://image.tmdb.org/t/p/w600_and_h900_face/arqCQXHqgzZG2m5111FV4nA13RN.jpg
1985;2024-02;The Karate Kid;A movie with many lessons which kids and adults have to learn.;https://image.tmdb.org/t/p/w600_and_h900_face/1mp4ViklKvA0WXXsNvNx0RBuiit.jpg
1988;2025-06;Nuovo Cinema Paradiso;A great movie teaching us about life.;https://image.tmdb.org/t/p/w600_and_h900_face/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg
1994;2024-10;Shawshank Redemption;A classic, one of the best underdog tales.;https://image.tmdb.org/t/p/w600_and_h900_face/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
1999;2024-12;The Matrix;Great modern fantasy story.;https://image.tmdb.org/t/p/w600_and_h900_face/p96dm7sCMn4VYAStA6siNz30G1r.jpg
2003;2023-07;Holes;Wow, the book was good and the film is equally good.;https://image.tmdb.org/t/p/w600_and_h900_face/o2Dm2mcE1qW8vT0bpsJO5OMBbqa.jpg
2003;2026-02;Evil (Ondskan);An amazing movie about what it means for a person to be evil.;https://image.tmdb.org/t/p/w600_and_h900_face/1qqI4qh3VP7jUBRTGsIxh1miNKJ.jpg
2003;2026-02;Ratatouille;Well-known movie, sweet story about food, love and talent.;https://image.tmdb.org/t/p/w600_and_h900_face/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
2007;2023-08;Hunting and Gathering;A movie about friendship, the relationship of parents to their kids.;https://image.tmdb.org/t/p/w600_and_h900_face/dNgTyFxp84SWeOkgdWeZDiXsADG.jpg
2008;2025-06;Wall-e;Great, positive and cute movie.;https://image.tmdb.org/t/p/w600_and_h900_face/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg
2009;2025-10;Castaway on the Moon;A movie about two lost souls in the modern world.;https://image.tmdb.org/t/p/w600_and_h900_face/gGzovvmOEyNVUu4WEHtw9wfDsqI.jpg
2011;2025-02;Intouchables;A great movie, even a very spiritual movie.;https://image.tmdb.org/t/p/w600_and_h900_face/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg
2012;2023-07;The Dictator;Sacha Baron Cohen's masterpiece.;https://image.tmdb.org/t/p/w600_and_h900_face/n0W7kajF4GFMRk2c0wWwMQqTaDM.jpg
2013;2025-06;Instructions Not Inclucded;A great movie with lots of lessons.;https://image.tmdb.org/t/p/w600_and_h900_face/x3Ygv0aZbZ3iUMeXyIlSu0Ugyp5.jpg
2015;2023-05;Heidi;A wonderful movie teaching the most beautiful things in life.;https://image.tmdb.org/t/p/w600_and_h900_face/ue6L0x3C9V4c5kIiWnEIOPwtGhw.jpg
2015;2025-10;Wood Job!;An amazing Japanese movie about differences of city life and country life.;https://image.tmdb.org/t/p/w600_and_h900_face/gvo0367R3pWJJrwGDRMMOCZnSwY.jpg
2021;2024-11;Coda;A movie about a fisher family of who parents and son are deaf.;https://image.tmdb.org/t/p/w600_and_h900_face/BzVjmm8l23rPsijLiNLUzuQtyd.jpg
